iter	RMSE
172	0.3681083551
173	0.3664821312
174	0.364811029
175	0.3633799228
176	0.3618202949
177	0.3596819246
178	0.357642141
179	0.3555863421
180	0.3529909103
181	0.3509650416
182	0.3490949918
183	0.3475670377
184	0.3461423656
185	0.3446379834
186	0.3434915772
187	0.3418247766
188	0.3401870231
189	0.338611986
190	0.3373303443
191	0.3361073687
192	0.3348374986
193	0.3331370723
194	0.3315016154
195	0.3302657388
196	0.3289367812
197	0.3271968849
198	0.3259314085
199	0.3240781098
200	0.3221499381
201	0.3208521057
202	0.318441251
203	0.3174468648
204	0.3160009619
205	0.3147851432
206	0.3131180048
207	0.3114777509
208	0.3101092867
209	0.3084765318
210	0.3078554678
211	0.3062566922
212	0.3049615668
213	0.3037438127
214	0.3025588659
215	0.3008188161
216	0.2995708376
217	0.2978525477
218	0.2963478841
219	0.2951563816
220	0.2938775557
221	0.2923282936
222	0.2919032472
223	0.2903950825
224	0.2885980616
225	0.2873233608
226	0.2859346353
227	0.2853309045
228	0.2844747812
229	0.2828905247
230	0.2813901347
231	0.2800287022
232	0.2786001689
233	0.277575317
234	0.2759131225
235	0.2748773397
236	0.2733700413
237	0.2724017865
238	0.2717136825
239	0.2702394864
240	0.2692960736
241	0.2686632225
242	0.2676108131
243	0.2663591103
244	0.2650056768
245	0.2641606134
246	0.263446821
247	0.262201099
248	0.2614646839
249	0.2608091046
250	0.2598190008
251	0.2584330255
252	0.2578037057
253	0.2568401582
254	0.2557135606
255	0.2546044018
256	0.2540112848
257	0.2530843431
258	0.251949551
259	0.2512694849
260	0.2507383012
261	0.2499116108
262	0.2491655637
263	0.2480623005
264	0.246856317
265	0.2460010592
266	0.2448557341
267	0.2443034919
268	0.2439179283
269	0.2429476023
270	0.2416079918
271	0.2403214988
272	0.2392640893
273	0.2380763163
274	0.2375022788
275	0.2367653546
276	0.2359741049
277	0.2354107088
278	0.2344157474
279	0.2336326173
280	0.232841498
281	0.2320559635
282	0.2316634014
283	0.2309132951
284	0.2300829014
285	0.2293081767
286	0.2287677466
287	0.2276792541
288	0.2272034005
289	0.2265436856
290	0.2259544056
291	0.2250963854
292	0.2243977622
293	0.2234647429
294	0.2226184566
295	0.2218609906
296	0.2211656366
297	0.2204053008
298	0.219545614
299	0.2190557049
300	0.2185552555
301	0.2177494651
302	0.2171402379
303	0.216654068
304	0.2161859632
305	0.2152785279
306	0.2147079198
307	0.2143311743
308	0.2138902085
309	0.2134322618
310	0.2127934639
311	0.2122702221
312	0.211950947
313	0.211442723
314	0.2107297264
315	0.2100104856
316	0.2095859273
317	0.2087438852
318	0.2084974923
319	0.2082584074
320	0.2076930578
321	0.2069094036
322	0.2062336517
323	0.2055703499
324	0.2050920224
325	0.204555626
326	0.2039520781
327	0.2034008625
328	0.2027694986
329	0.2019898603
330	0.2013700918
331	0.2006335799
332	0.2002069223
333	0.1996158251
334	0.1989999533
335	0.1984819177
336	0.1979412219
337	0.197655948
338	0.1970718902
339	0.1965944171
340	0.1960622296
341	0.1956706423
342	0.1952429498
343	0.1947854156
344	0.1944262087
345	0.1942708078
346	0.1938388184
347	0.1931627486
348	0.1925965825
349	0.1920791979
350	0.1917199248
351	0.1912863483
352	0.1906207856
353	0.1902145377
354	0.1898324044
355	0.1893071361
356	0.1888491982
357	0.1883423635
358	0.1878668178
359	0.1873223684
360	0.186792318
361	0.1864974819
362	0.1860158447
363	0.1857450031
364	0.1852608643
365	0.1847837285
366	0.1845077158
367	0.1839223133
368	0.1835123239
369	0.1830333639
370	0.1827101742
371	0.1825679562
372	0.1822319522
373	0.1818541191
374	0.1812924703
375	0.1809640452
376	0.1805049027
377	0.1800918135
378	0.1797924269
379	0.179584838
380	0.1794755875
381	0.1790923591
382	0.1786348687
383	0.1781065186
384	0.1779065709
385	0.1776752896
386	0.1773031767
387	0.1769764942
388	0.1766411725
389	0.1764196455
390	0.176107062
391	0.1757040389
392	0.1753774294
393	0.1749991767
394	0.1744498044
395	0.1740643434
396	0.1737988716
397	0.1735427849
398	0.1731851938
399	0.1729210432
400	0.172664147
401	0.1723093483
402	0.1719991554
403	0.1717518718
404	0.1713674897
405	0.1708723595
406	0.1704610312
407	0.1701964136
408	0.1697497031
409	0.1695146171
410	0.1692097236
411	0.1689384821
412	0.1687462712
413	0.1684663932
414	0.1681487967
415	0.1677739582
416	0.1675468742
417	0.1672197508
418	0.1669795617
419	0.1666985763
420	0.166507108
421	0.1661912048
422	0.1659163232
423	0.1656911252
424	0.1654726985
425	0.1651477977
426	0.1648054707
427	0.1646081897
428	0.1644046291
429	0.164066816
430	0.1637912622
431	0.1634456845
432	0.1632616516
433	0.1631885483
434	0.1629278277
435	0.1627316499
436	0.1623997382
437	0.1622272775
438	0.1617787869
439	0.1616050627
440	0.1613241646
441	0.1612133611
442	0.1609120466
443	0.16056905
444	0.1603102659
445	0.1601882859
446	0.15990098
447	0.1598063115
448	0.1595355242
449	0.1592760055
450	0.1591217069
451	0.1588787116
452	0.1586937802
453	0.1584911587
454	0.1580808112
455	0.1578756293
456	0.1576257209
457	0.1574435971
458	0.157298476
459	0.1570505283
460	0.1569076584
461	0.1566159899
462	0.1562780402
463	0.156084049
464	0.1559681854
465	0.1556459513
466	0.1554535775
467	0.1552168072
468	0.1549918414
469	0.1547539103
470	0.1544533008
471	0.1542216712
472	0.1539970436
473	0.1537292951
474	0.1534772722
475	0.1532772746
476	0.1531190162
477	0.1530134729
478	0.1528820168
479	0.1528081246
480	0.1525835884
481	0.1523917526
482	0.1521875132
483	0.1520430569
484	0.1518545286
485	0.1515716746
486	0.1514276244
487	0.1512036247
488	0.1511040883
489	0.1509401963
490	0.1507293946
491	0.150514749
492	0.1502950416
493	0.1501861254
494	0.1499936223
495	0.1498507632
496	0.1497689785
497	0.1496774569
498	0.1495938787
499	0.1494152329
