iter	Passed	Remaining
294	3004	2087
295	3014	2077
296	3023	2066
297	3035	2057
298	3046	2047
299	3055	2036
300	3064	2026
301	3075	2016
302	3086	2006
303	3096	1996
304	3105	1985
305	3114	1974
306	3124	1964
307	3134	1954
308	3144	1943
309	3153	1932
310	3162	1921
311	3171	1910
312	3180	1900
313	3189	1889
314	3199	1879
315	3209	1868
316	3218	1858
317	3228	1847
318	3241	1838
319	3251	1828
320	3260	1818
321	3270	1807
322	3279	1797
323	3289	1786
324	3298	1776
325	3307	1765
326	3322	1757
327	3332	1747
328	3343	1737
329	3352	1727
330	3362	1716
331	3371	1706
332	3380	1695
333	3389	1684
334	3398	1674
335	3408	1663
336	3433	1660
337	3444	1651
338	3455	1641
339	3464	1630
340	3474	1620
341	3484	1609
342	3493	1599
343	3502	1588
344	3513	1578
345	3522	1567
346	3531	1557
347	3541	1546
348	3551	1536
349	3560	1526
350	3569	1515
351	3578	1504
352	3587	1494
353	3597	1483
354	3607	1473
355	3616	1462
356	3625	1452
357	3634	1441
358	3646	1432
359	3656	1421
360	3668	1412
361	3680	1403
362	3690	1392
363	3699	1382
364	3708	1371
365	3717	1361
366	3727	1350
367	3737	1340
368	3747	1330
369	3756	1319
370	3765	1309
371	3774	1298
372	3784	1288
373	3794	1278
374	3803	1267
375	3812	1257
376	3822	1247
377	3832	1236
378	3843	1226
379	3853	1216
380	3863	1206
381	3876	1197
382	3886	1187
383	3896	1176
384	3905	1166
385	3915	1156
386	3924	1146
387	3934	1135
388	3944	1125
389	3953	1115
390	3964	1105
391	3973	1094
392	3983	1084
393	3992	1074
394	4001	1063
395	4010	1053
396	4019	1042
397	4029	1032
398	4038	1022
399	4049	1012
400	4058	1002
401	4070	992
402	4081	982
403	4091	972
404	4099	961
405	4110	951
406	4120	941
407	4130	931
408	4140	921
409	4149	910
410	4159	900
411	4169	890
412	4178	880
413	4187	869
414	4196	859
415	4205	849
416	4215	839
417	4224	828
418	4234	818
419	4243	808
420	4253	798
421	4264	788
422	4276	778
423	4286	768
424	4296	758
425	4306	748
426	4316	737
427	4325	727
428	4334	717
429	4343	707
430	4353	696
431	4364	686
432	4373	676
433	4383	666
434	4391	656
435	4401	646
436	4410	635
437	4419	625
438	4429	615
439	4438	605
440	4448	595
441	4457	584
442	4468	574
443	4479	564
444	4491	555
445	4501	545
446	4511	534
447	4520	524
448	4529	514
449	4538	504
450	4547	494
451	4556	483
452	4566	473
453	4576	463
454	4586	453
455	4595	443
456	4604	433
457	4614	423
458	4624	413
459	4633	402
460	4642	392
461	4652	382
462	4670	373
463	4681	363
464	4693	353
465	4704	343
466	4714	333
467	4723	322
468	4732	312
469	4741	302
470	4751	292
471	4760	282
472	4769	272
473	4779	262
474	4789	252
475	4799	241
476	4808	231
477	4817	221
478	4827	211
479	4836	201
480	4846	191
481	4855	181
482	4864	171
483	4874	161
484	4885	151
485	4896	141
486	4909	131
487	4918	120
488	4928	110
489	4937	100
490	4946	90
491	4955	80
492	4964	70
493	4974	60
494	4984	50
495	4993	40
496	5002	30
497	5011	20
498	5021	10
499	5030	0
